"Driver","mean_EM","SD_EM","mean_no_EM","SD_no_EM","AD_p","adj_AD_p","mean_2016","SD_2016","mean_2017","SD_2017","mean_2018","SD_2018","mean_2019","SD_2019"
"pz_Temp_C",20.7477696981824,3.62723449593553,22.0515798204508,3.26499329117563,0.21953,1,20.5947662858258,4.22043616426609,20.9517742479911,2.77501875622885,22.4717180556599,2.36022120784733,21.6808696129134,3.93297449297814
"Temp_C_Cmax",17.3631787878788,4.79375446288955,17.7104233333333,5.2875900636499,0.93053,1,17.0869263157895,5.19337593198641,17.7380928571429,4.35416700475874,17.8679266666667,5.31788907280574,17.55292,5.43885632729503
"Temp_C_grab",17.5398363636364,4.73272041257841,18.0017070333333,5.46827127818982,0.88211,1,17.0930684210526,5.17680474392507,18.1461642857143,4.16422241067278,18.4663333333333,5.56490639950378,17.5370807333333,5.52350069593236
"thermo.depth",3.93975243857598,1.07953569636426,2.816900048719,0.433847352659989,0.0000064482,0.00032241,4.11459278812233,1.12172861994136,3.68421654308514,1.00202584962866,2.86774632749115,0.444800538079299,2.76605376994685,0.431861142819592
"schmidt.stability",25.0937027119302,8.40901719807412,36.7886111216788,6.6303998309714,0.00000048824,0.00002538848,24.5959843570727,8.68281075122397,25.821137230568,8.28367466383011,37.6165268728035,6.29736509931081,35.960695370554,7.06674920309775
"n2",0.00603930213065151,0.00184575021498776,0.00925606468093477,0.00206040085608566,0.000000061007,0.000003233371,0.00634041227492102,0.00175632494245805,0.00559921807364222,0.00195460945187368,0.00984838327814123,0.00203683668064506,0.00866374608372831,0.00197312674338402
"Kd",0.990778062994103,0.256005659276451,0.938087161326288,0.218283482287673,0.56595,1,0.939193157804037,0.229002062515189,1.05955793658086,0.281291086606139,0.987375582012705,0.233192887632329,0.892084635352299,0.200259588896029
"pz_depth_m",5.4616,1.18615670029177,4.56586206896552,1.64361730260983,0.0066164,0.2778888,5.8108,1.16824085476277,4.996,1.07621665370607,4.22392857142857,0.816892937555817,4.885,2.13477502996719
"perc_light_Cmax",3.38615839103204,5.24549536205375,7.37123079911453,13.5242294901555,0.59521,1,2.64715865506433,2.21912220320439,4.40938879467964,7.73681089479041,4.9420525161304,6.24185127184287,10.0212434714609,18.5668476807155
"perc_light_grab",3.83066632510594,5.33319915308845,9.96260406141865,18.2158976939311,0.81899,1,2.72014271630183,2.25012996143376,5.36831439883472,7.71515027253273,8.40234948092359,14.9896832602633,11.6646999674133,21.8342360053126
"pz_SRP_mean",9.31904761904762,2.8190445434914,7.78087797619048,2.17073607853633,0.033275,1,9.61666666666667,1.80892039140924,8.92222222222222,3.81625422322679,8.22777777777778,1.92273022922914,7.38655462184874,2.35424258519097
"pz_DIN_mean",22.5566666666667,23.7814364358894,16.0593005952381,5.35990314139078,0.17001,1,14.1533333333333,6.47014420873843,33.7611111111111,32.8830416965483,18.2166666666667,5.7067733356742,14.1557422969188,4.35337684133085
"pz_DOC_mean",2.56378231292517,1.00970935641494,4.01848214285714,1.3702230401241,0.0000032059,0.0001635009,2.11511904761905,0.657834914454061,3.162,1.10347866256224,4.55833333333333,1.1402928821767,3.54214285714286,1.40912699027325
"pz_SRP_CV",0.260857142857143,0.116249514320843,0.3484375,0.250999413635095,0.10297,1,0.2575,0.119246538071783,0.265333333333333,0.116119806767879,0.228666666666667,0.131141508448299,0.454117647058824,0.285833404790479
"pz_DIN_CV",0.581714285714286,0.373067457346647,0.3765625,0.255994069676775,0.013811,0.55244,0.5515,0.343699302481567,0.622,0.41790634630945,0.35,0.260603694744119,0.4,0.257487863791675
"pz_DOC_CV",0.140857142857143,0.113198717218138,0.206,0.16728254026007,0.072182,1,0.146,0.137320217394465,0.134,0.0737563556583431,0.144,0.135319727207191,0.268,0.177248816236224
