Peak_width_m,pz_SRP_CV,pz_DIN_CV,pz_DOC_CV,schmidt.stability,n2,Kd,,,,,,,
1,0.189115255,-0.00777486,0.007950639,-0.166946779,-0.09859944,-0.431917632,1,0.19,-0.01,0.01,-0.17,-0.1,-0.43
,1,0.112328767,0.62808539,0.103743216,-0.031683739,-0.497266467,,1,0.11,0.63,0.1,-0.03,-0.5
,,1,0.258201754,0.074858095,-0.013878186,-0.303778075,,,1,0.26,0.07,-0.01,-0.3
,,,1,0.014890423,-0.203446685,-0.320636618,,,,1,0.01,-0.2,-0.32
,,,,1,0.75070028,0.28250573,,,,,1,0.75,0.28
,,,,,1,0.194194041,,,,,,1,0.19
,,,,,,1,,,,,,,1
