"Response.var","Rank","AICc","Del.AICc","Sigma.2","Log.likelihood","Covar","Covar.coefs","Covar.coef.SE"
"Max_biomass_ugL","1",24.99,0,0.01,7.51,"ar1",-0.98,0.03
"Max_biomass_ugL","1",24.99,0,0.01,7.51,"intercept",1.99,0.13
"Max_biomass_ugL","1",24.99,0,0.01,7.51,"EM",0.22,0.03
"Max_biomass_ugL","1",24.99,0,0.01,7.51,"Cmax_SRP_ugL",-0.7,0.05
"Max_biomass_ugL","1",24.99,0,0.01,7.51,"SRPmax_depth_m",-0.71,0.09
"Max_biomass_ugL","1",24.99,0,0.01,7.51,"DINmax_depth_m",1.55,0.2
"Max_biomass_ugL","1",24.99,0,0.01,7.51,"DINmax_ugL",0.38,0.06
"Max_biomass_ugL","1",24.99,0,0.01,7.51,"DOCmax_depth_m",-0.57,0.08
"Max_biomass_ugL","1",24.99,0,0.01,7.51,"thermo.depth",0.71,0.07
"Max_biomass_ugL","2",25.83,0.84,0,11.28,"ar1",-1.92,0.05
"Max_biomass_ugL","2",25.83,0.84,0,11.28,"ar2",-0.94,0.05
"Max_biomass_ugL","2",25.83,0.84,0,11.28,"intercept",2.15,0.09
"Max_biomass_ugL","2",25.83,0.84,0,11.28,"EM",0.18,0.02
"Max_biomass_ugL","2",25.83,0.84,0,11.28,"Cmax_SRP_ugL",-0.5,0.04
"Max_biomass_ugL","2",25.83,0.84,0,11.28,"Cmax_DOC_mgL",-0.76,0.06
"Max_biomass_ugL","2",25.83,0.84,0,11.28,"SRPmax_depth_m",-0.61,0.06
"Max_biomass_ugL","2",25.83,0.84,0,11.28,"DINmax_depth_m",1.46,0.13
"Max_biomass_ugL","2",25.83,0.84,0,11.28,"DOCmax_depth_m",-1.1,0.06
"Max_biomass_ugL","2",25.83,0.84,0,11.28,"thermo.depth",0.6,0.06
"Max_biomass_ugL","3",26.24,1.25,0.02,3.38,"ar1",-0.95,0.05
"Max_biomass_ugL","3",26.24,1.25,0.02,3.38,"intercept",2.95,0.06
"Max_biomass_ugL","3",26.24,1.25,0.02,3.38,"Cmax_SRP_ugL",-0.5,0.07
"Max_biomass_ugL","3",26.24,1.25,0.02,3.38,"Cmax_DIN_ugL",-0.37,0.04
"Max_biomass_ugL","3",26.24,1.25,0.02,3.38,"SRPmax_depth_m",0.07,0.1
"Max_biomass_ugL","3",26.24,1.25,0.02,3.38,"DOCmax_depth_m",-1.12,0.11
