"Peak_depth_m","SRPmax_depth_m","DINmax_depth_m","DOCmax_depth_m","schmidt.stability","n2","thermo.depth","Kd"
"1","0.339118023219274","0.263786350869093","0.251346660153368","-0.548039045746123","-0.441814471595578","0.226663880900104","-0.173833595285123"
"","1","0.0772267833405424","0.129081860172809","-0.118967884601569","-0.180073795690639","0.22196290265764","0.0426370515119318"
"","","1","0.134434068995258","-0.270940608819957","-0.214883282689176","0.0671710060178295","-0.427504530465604"
"","","","1","-0.316688165717297","-0.126551064260975","0.243651974374021","-0.136039486482276"
"","","","","1","0.78622419448196","-0.6197826226767","0.0874916163648558"
"","","","","","1","-0.449996784359123","0.0595238095238095"
"","","","","","","1","0.340744466800805"
"","","","","","","","1"
