"Response.var","Rank","AICc","Del.AICc","Sigma.2","Log.likelihood","Covar","Covar.coefs","Covar.coef.SE"
"Max_biomass_ugL","1",-27.49,0,0,53.99,"ar1",-2.79,0.05
"Max_biomass_ugL","1",-27.49,0,0,53.99,"ar2",-2.7,0.1
"Max_biomass_ugL","1",-27.49,0,0,53.99,"ar3",-0.91,0.05
"Max_biomass_ugL","1",-27.49,0,0,53.99,"intercept",3.37,0
"Max_biomass_ugL","1",-27.49,0,0,53.99,"EM",0.48,0
"Max_biomass_ugL","1",-27.49,0,0,53.99,"Cmax_SRP_ugL",-0.01,0
"Max_biomass_ugL","1",-27.49,0,0,53.99,"Cmax_DIN_ugL",-0.28,0
"Max_biomass_ugL","1",-27.49,0,0,53.99,"Cmax_DOC_mgL",0.31,0
"Max_biomass_ugL","1",-27.49,0,0,53.99,"SRPmax_depth_m",-0.12,0
"Max_biomass_ugL","1",-27.49,0,0,53.99,"DINmax_depth_m",0.26,0
"Max_biomass_ugL","1",-27.49,0,0,53.99,"DINmax_ugL",0.3,0
"Max_biomass_ugL","1",-27.49,0,0,53.99,"DOCmax_depth_m",0.51,0
"Max_biomass_ugL","1",-27.49,0,0,53.99,"thermo.depth",-0.43,0
"Peak_depth_m","1",33.99,0,0,10.61,"ar1",-2.61,0.06
"Peak_depth_m","1",33.99,0,0,10.61,"ar2",-2.56,0.1
"Peak_depth_m","1",33.99,0,0,10.61,"ar3",-0.94,0.06
"Peak_depth_m","1",33.99,0,0,10.61,"intercept",4.87,0.04
"Peak_depth_m","1",33.99,0,0,10.61,"EM",1.6,0.06
"Peak_depth_m","1",33.99,0,0,10.61,"Cmax_DIN_ugL",-1.19,0.08
"Peak_depth_m","1",33.99,0,0,10.61,"SRPmax_depth_m",-0.01,0.04
"Peak_depth_m","1",33.99,0,0,10.61,"DINmax_ugL",2.31,0.05
"Peak_depth_m","1",33.99,0,0,10.61,"DOCmax_depth_m",1.64,0.11
"Peak_depth_m","1",33.99,0,0,10.61,"Temp_C",-1.86,0.17
"Peak_depth_m","1",33.99,0,0,10.61,"thermo.depth",-1.14,0.15
"Peak_depth_m","2",35.75,1.77,0,15.34,"ar1",-3.6,0.09
"Peak_depth_m","2",35.75,1.77,0,15.34,"ar2",-5.06,0.26
"Peak_depth_m","2",35.75,1.77,0,15.34,"ar3",-3.26,0.28
"Peak_depth_m","2",35.75,1.77,0,15.34,"ar4",-0.81,0.1
"Peak_depth_m","2",35.75,1.77,0,15.34,"intercept",4.84,0.02
