Peak_width_m,pz_SRP_CV,pz_DIN_CV,pz_DOC_CV,schmidt.stability,n2,Kd,,,,,,,
1,0.133808321,0.086766773,-0.136626234,-0.165998055,-0.30078706,-0.225340634,1,0.13,0.09,-0.14,-0.17,-0.3,-0.23
,1,0.066451915,0.371961371,0.118462242,0.054038646,-0.33620403,,1,0.07,0.37,0.12,0.05,-0.34
,,1,0.144980521,-0.218418483,-0.255235299,-0.219882336,,,1,0.14,-0.22,-0.26,-0.22
,,,1,0.180244018,0.155978642,-0.064656253,,,,1,0.18,0.16,-0.06
,,,,1,0.786224194,0.087491616,,,,,1,0.79,0.09
,,,,,1,0.05952381,,,,,,1,0.06
,,,,,,1,,,,,,,1
