"Response.var","Rank","AICc","Del.AICc","Sigma.2","Log.likelihood","Covar","Covar.coefs","Covar.coef.SE"
"Max_biomass_ugL","1",-38.06,0,0,43.41,"ar1",-1.88,0.04
"Max_biomass_ugL","1",-38.06,0,0,43.41,"ar2",-0.94,0.05
"Max_biomass_ugL","1",-38.06,0,0,43.41,"ma1",-0.9,0.39
"Max_biomass_ugL","1",-38.06,0,0,43.41,"intercept",2.74,0
"Max_biomass_ugL","1",-38.06,0,0,43.41,"HOx",-0.08,0
"Max_biomass_ugL","1",-38.06,0,0,43.41,"Cmax_DIN_ugL",0.07,0
"Max_biomass_ugL","1",-38.06,0,0,43.41,"Cmax_DOC_mgL",-1.1,0
"Max_biomass_ugL","1",-38.06,0,0,43.41,"SRPmax_depth_m",0.02,0
"Max_biomass_ugL","1",-38.06,0,0,43.41,"DINmax_depth_m",-1.68,0.03
"Max_biomass_ugL","1",-38.06,0,0,43.41,"DINmax_ugL",1.04,0.01
"Max_biomass_ugL","1",-38.06,0,0,43.41,"thermo.depth",-3.41,0.02
"Max_biomass_ugL","1",-38.06,0,0,43.41,"Kd",0.68,0.01
"Peak_depth_m","1",-42.09,0,0,49.05,"ar1",-2.53,0.44
"Peak_depth_m","1",-42.09,0,0,49.05,"ar2",-2.12,0.93
"Peak_depth_m","1",-42.09,0,0,49.05,"ar3",-0.59,0.5
"Peak_depth_m","1",-42.09,0,0,49.05,"ma1",-0.86,0.52
"Peak_depth_m","1",-42.09,0,0,49.05,"intercept",3.78,0
"Peak_depth_m","1",-42.09,0,0,49.05,"HOx",0.06,0
"Peak_depth_m","1",-42.09,0,0,49.05,"Cmax_DOC_mgL",0.27,0
"Peak_depth_m","1",-42.09,0,0,49.05,"SRPmax_depth_m",-0.08,0
"Peak_depth_m","1",-42.09,0,0,49.05,"DINmax_depth_m",1.82,0
"Peak_depth_m","1",-42.09,0,0,49.05,"DOCmax_depth_m",0.43,0
"Peak_depth_m","1",-42.09,0,0,49.05,"Temp_C",-1.48,0
"Peak_depth_m","1",-42.09,0,0,49.05,"thermo.depth",2,0
"Peak_depth_m","1",-42.09,0,0,49.05,"Kd",0.36,0
"Peak_magnitude_ugL","1",-18.79,0,0,37.4,"ar1",-1.95,0.06
"Peak_magnitude_ugL","1",-18.79,0,0,37.4,"ar2",-0.95,0.05
"Peak_magnitude_ugL","1",-18.79,0,0,37.4,"ma1",-0.04,0.49
"Peak_magnitude_ugL","1",-18.79,0,0,37.4,"ma2",0.36,0.41
"Peak_magnitude_ugL","1",-18.79,0,0,37.4,"intercept",1.02,0.01
"Peak_magnitude_ugL","1",-18.79,0,0,37.4,"HOx",-0.18,0.01
"Peak_magnitude_ugL","1",-18.79,0,0,37.4,"Cmax_DIN_ugL",0.86,0.01
"Peak_magnitude_ugL","1",-18.79,0,0,37.4,"SRPmax_depth_m",0.28,0
"Peak_magnitude_ugL","1",-18.79,0,0,37.4,"DINmax_ugL",0.27,0
"Peak_magnitude_ugL","1",-18.79,0,0,37.4,"DOCmax_depth_m",-0.64,0
"Peak_magnitude_ugL","1",-18.79,0,0,37.4,"Temp_C",0.51,0.01
"Peak_magnitude_ugL","1",-18.79,0,0,37.4,"thermo.depth",-2.39,0.02
"Peak_magnitude_ugL","1",-18.79,0,0,37.4,"Kd",0.18,0.01
"Peak_magnitude_ugL","2",-17.48,1.32,0,29.91,"ar1",-1.95,0.03
"Peak_magnitude_ugL","2",-17.48,1.32,0,29.91,"ar2",-0.95,0.03
"Peak_magnitude_ugL","2",-17.48,1.32,0,29.91,"ma1",-0.76,0.46
"Peak_magnitude_ugL","2",-17.48,1.32,0,29.91,"intercept",1.19,0
"Peak_magnitude_ugL","2",-17.48,1.32,0,29.91,"Cmax_SRP_ugL",-0.03,0.01
"Peak_magnitude_ugL","2",-17.48,1.32,0,29.91,"SRPmax_depth_m",0.77,0.01
"Peak_magnitude_ugL","2",-17.48,1.32,0,29.91,"DINmax_depth_m",-1.54,0.01
"Peak_magnitude_ugL","2",-17.48,1.32,0,29.91,"DINmax_ugL",0.82,0
"Peak_magnitude_ugL","2",-17.48,1.32,0,29.91,"DOCmax_depth_m",-0.8,0.01
"Peak_magnitude_ugL","2",-17.48,1.32,0,29.91,"thermo.depth",-3.29,0.02
"Peak_magnitude_ugL","2",-17.48,1.32,0,29.91,"Kd",0.65,0.01
"Peak_width_m","1",5,0,0,25.5,"ar1",-1.95,0.05
"Peak_width_m","1",5,0,0,25.5,"ar2",-0.95,0.05
"Peak_width_m","1",5,0,0,25.5,"ma1",-0.56,0.44
"Peak_width_m","1",5,0,0,25.5,"ma2",-0.01,0.41
"Peak_width_m","1",5,0,0,25.5,"intercept",6.54,0.04
"Peak_width_m","1",5,0,0,25.5,"HOx",0.69,0.02
"Peak_width_m","1",5,0,0,25.5,"Cmax_SRP_ugL",2.82,0.03
"Peak_width_m","1",5,0,0,25.5,"Cmax_DIN_ugL",-0.51,0.06
"Peak_width_m","1",5,0,0,25.5,"SRPmax_depth_m",1.48,0.05
"Peak_width_m","1",5,0,0,25.5,"DOCmax_depth_m",-2.19,0.03
"Peak_width_m","1",5,0,0,25.5,"Temp_C",-4.27,0.09
"Peak_width_m","1",5,0,0,25.5,"thermo.depth",0.78,0.08
"Peak_width_m","1",5,0,0,25.5,"Kd",3.58,0.07
"Peak_depth_m","null",113.59,108.58,2.18,-53.33,"ar1",0.43,0.17
"Peak_depth_m","null",113.59,108.58,2.18,-53.33,"intercept",3.08,0.45
"Peak_width_m","null",119.72,114.72,2.83,-57.64,"intercept",3.14,0.3
