Peak_depth_m,SRPmax_depth_m,DINmax_depth_m,DOCmax_depth_m,schmidt.stability,n2,thermo.depth,Kd,,,,,,,,
1,0.107687544,0.23382117,0.272212062,-0.16360835,-0.006863706,-0.393472479,-0.489767027,1,0.11,0.23,0.27,-0.16,-0.01,-0.39,-0.49
,1,0.113072491,0.300984955,0.086682839,-0.05778856,-0.115577119,0.086501063,,1,0.11,0.3,0.09,-0.06,-0.12,0.09
,,1,0.306850845,-0.231219453,-0.216397693,-0.44970963,-0.618327958,,,1,0.31,-0.23,-0.22,-0.45,-0.62
,,,1,-0.28139004,-0.01940621,-0.232874515,-0.246499552,,,,1,-0.28,-0.02,-0.23,-0.25
,,,,1,0.75070028,-0.329131653,0.28250573,,,,,1,0.75,-0.33,0.28
,,,,,1,-0.194397759,0.194194041,,,,,,1,-0.19,0.19
,,,,,,1,0.640030558,,,,,,,1,0.64
,,,,,,,1,,,,,,,,1
